,slide,nb_support,DICE(%),IOU(%),gt,score,nb_query
48,20114.svs,2684853,81.42,68.66,1,[0.99902512 0.99301937 0.98112892 0.94055954 0.90318332],2685053
49,20114.svs,2684853,81.42,68.66,1,[0.99889358 0.99443901 0.98083436 0.92528237 0.85106182],2685032
50,20114.svs,2684853,74.86,59.83,1,[0.99937432 0.99636984 0.98222685 0.91265116 0.92272815],2685007
51,20114.svs,2684853,75.16,60.2,1,[0.9983632  0.99563215 0.98465773 0.93759897 0.89824696],2684980
52,20114.svs,2684853,80.0,66.67,1,[0.99558833 0.98972576 0.97618953 0.93477458 0.9202892 ],2684951
53,20114.svs,2684853,92.65,86.3,1,[0.99670211 0.99298252 0.97988516 0.92973839 0.85677761],2684930
54,20114.svs,2684853,70.78,54.77,1,[0.99969039 0.99687984 0.98198905 0.90226178 0.87426973],2684911
55,20114.svs,2684853,74.42,59.26,1,[0.99694771 0.9918151  0.97679081 0.93365232 0.8988716 ],2684888
56,20114.svs,2684853,80.62,67.53,1,[0.99957222 0.99705049 0.98869629 0.97632502 0.98230741],2684853
57,20114.svs,2684853,86.34,75.96,1,[0.99587129 0.9941232  0.98756582 0.96760283 0.91003494],2684832
58,20114.svs,2684853,81.25,68.42,1,[0.99917261 0.99323066 0.97409509 0.92147752 0.92582954],2684781
59,20114.svs,2684853,82.31,69.94,1,[0.99772406 0.98163109 0.95908506 0.90290453 0.92387299],2684761
60,20114.svs,2689827,72.5,56.87,0,[0.98596401 0.94720659 0.93240554 0.8411892  0.42682286],2721341
61,20114.svs,2689827,91.79,84.82,0,[0.98816913 0.98279807 0.97040239 0.92582755 0.83095897],2721292
62,20114.svs,2689827,90.92,83.36,0,[0.98980232 0.98204772 0.95699662 0.88221627 0.69937657],2721263
63,20114.svs,2689827,73.2,57.73,0,[0.98243628 0.96889661 0.9198062  0.74275357 0.38583042],2721242
64,20114.svs,2689827,67.59,51.04,0,[0.98431619 0.9691238  0.93697506 0.77854084 0.499589  ],2721223
65,20114.svs,2689827,82.87,70.75,0,[0.98953912 0.9786644  0.95182888 0.84669499 0.5194546 ],2721202
66,20114.svs,2689827,70.19,54.07,0,[0.86179791 0.89690345 0.92992512 0.80361882 0.57591762],2721173
67,20114.svs,2689827,79.23,65.6,0,[0.98905695 0.9829289  0.97166228 0.86039352 0.71905102],2721154
68,20114.svs,2689827,67.73,51.21,0,[0.9763354  0.97352148 0.96631565 0.91685084 0.79445203],2721127
69,20114.svs,2689827,83.74,72.03,0,[0.98086758 0.96479888 0.91256508 0.81589875 0.61165952],2721074
70,20114.svs,2689827,84.7,73.46,0,[0.97304989 0.96337559 0.95482648 0.83905386 0.60865125],2721055
71,20114.svs,2689827,88.08,78.7,1,[0.95613326 0.9542944  0.9517501  0.87359807 0.85343149],2689939
72,20114.svs,2689827,86.61,76.39,1,[0.98882907 0.98240339 0.9602042  0.88325706 0.85514916],2689910
73,20114.svs,2689827,81.15,68.28,1,[0.99600777 0.99113507 0.98532567 0.94054251 0.87882284],2689869
74,20114.svs,2689827,88.89,80.0,1,[0.98012095 0.97767922 0.97925374 0.91869782 0.80933128],2689850
