,slide,nb_support,DICE(%),IOU(%),gt,score,nb_query
1545,19940.svs,2686870,90.29,82.3,1,[0.99814395 0.99338336 0.97141061 0.92824843 0.83942138],2688820
1546,19940.svs,2686870,88.25,78.97,1,[0.9991414  0.99493247 0.97338598 0.91116365 0.81839343],2688793
1547,19940.svs,2686870,87.89,78.39,1,[0.99321141 0.98783408 0.97867777 0.92063807 0.83942983],2688772
1548,19940.svs,2686870,86.28,75.87,1,[0.9997265  0.9946405  0.97413561 0.90744678 0.79803193],2688751
1549,19940.svs,2686870,85.24,74.28,1,[0.99833448 0.99472815 0.98141674 0.94660883 0.90052017],2688730
1550,19940.svs,2686870,82.29,69.9,1,[0.99928537 0.99506662 0.97022258 0.88743239 0.75633279],2688711
1551,19940.svs,2686870,89.91,81.67,1,[0.99636772 0.98806496 0.96708487 0.91441834 0.78073471],2688688
1552,19940.svs,2686870,87.55,77.86,1,[0.99955589 0.99421744 0.96675962 0.89125403 0.76144556],2688665
1553,19940.svs,2686870,85.64,74.89,1,[0.99859428 0.99552685 0.97392806 0.89547508 0.82497038],2688646
1554,19940.svs,2686870,89.58,81.12,1,[0.99931705 0.99495915 0.98399671 0.92340266 0.80334622],2688621
1555,19940.svs,2686870,95.31,91.04,1,[0.99575481 0.9910186  0.97451412 0.90138615 0.80736015],2688598
1556,19940.svs,2686870,88.48,79.33,1,[0.99954994 0.9869038  0.96482189 0.86671639 0.78862451],2688579
1557,19940.svs,2686870,84.45,73.09,1,[0.99968122 0.99408634 0.9682825  0.9130419  0.83164823],2688562
1558,19940.svs,2686870,85.63,74.88,1,[0.99984131 0.99573354 0.9717801  0.91480063 0.86486547],2688545
1559,19940.svs,2686870,83.14,71.15,1,[0.99965646 0.98993618 0.93876767 0.88564182 0.83520081],2688528
1560,19940.svs,2686870,93.54,87.86,1,[0.99984742 0.99228069 0.95695192 0.94754494 0.93414131],2686870
1561,19940.svs,2686870,90.81,83.17,1,[0.99824232 0.99324835 0.98249744 0.95057453 0.89812941],2686851
1562,19940.svs,2686870,91.57,84.45,1,[0.99889383 0.98778758 0.95185436 0.88437176 0.70378916],2686828
1563,19940.svs,2686870,87.42,77.65,1,[0.99884845 0.9879717  0.94052205 0.89427295 0.79993618],2686811
1564,19940.svs,2686870,93.9,88.49,1,[0.99725475 0.99293193 0.96837673 0.87331844 0.80960195],2686790
1565,19940.svs,2686870,79.64,66.16,1,[0.99929004 0.98806627 0.96313208 0.91234284 0.75608407],2686769
1566,19940.svs,2686870,96.53,93.29,1,[0.99882019 0.99615593 0.98305539 0.93802782 0.87014985],2686748
1567,19940.svs,2686870,86.15,75.66,1,[0.99966963 0.99730932 0.98396755 0.93728313 0.87170994],2686731
1568,19940.svs,2686870,92.03,85.23,1,[0.99938747 0.99508333 0.97605208 0.90514418 0.74275078],2686708
1569,19940.svs,2686870,87.37,77.58,1,[0.99954005 0.98889685 0.94168577 0.83091855 0.67669528],2686685
1570,19940.svs,2686870,94.63,89.8,1,[0.99963383 0.9970636  0.98248337 0.9446237  0.85859488],2686599
1571,19940.svs,2686870,93.18,87.22,1,[0.99976702 0.99702585 0.98397473 0.93746544 0.89312019],2686578
1572,19940.svs,2686870,89.12,80.37,1,[0.99976145 0.99464738 0.96244932 0.86768349 0.77032054],2686549
1573,19940.svs,2686870,90.39,82.46,1,[0.99910031 0.99315799 0.9713145  0.9087762  0.80854441],2686504
1574,19940.svs,2686870,91.11,83.67,1,[0.99802722 0.97498222 0.94107525 0.85240566 0.70872198],2686483
1575,19940.svs,2686870,72.54,56.92,1,[0.99882507 0.98615065 0.95443877 0.87275416 0.80213751],2686460
1576,19940.svs,2686870,91.6,84.51,1,[0.99971636 0.99570354 0.98209823 0.9150722  0.82855565],2686431
1577,19940.svs,2686870,91.9,85.01,1,[0.99959373 0.99609987 0.97932234 0.86996715 0.69615793],2686412
1578,19940.svs,2686870,93.48,87.77,1,[0.99916296 0.99085655 0.97132757 0.85916479 0.69950004],2686391
1579,19940.svs,2686870,87.37,77.57,1,[0.99916861 0.99510197 0.97628061 0.9437346  0.80851089],2686370
1580,19940.svs,2686870,93.24,87.34,1,[0.99894457 0.99514198 0.98195172 0.93266769 0.84436019],2686353
1581,19940.svs,2686870,87.05,77.07,1,[0.99946238 0.9929441  0.9756898  0.89462999 0.73976913],2686334
1582,19940.svs,2686870,85.74,75.03,1,[0.99851796 0.99225568 0.96226062 0.9308009  0.81997738],2686317
1583,19940.svs,2686870,79.67,66.21,1,[0.99963039 0.99056601 0.939031   0.88106811 0.74284212],2686298
1584,19940.svs,2686870,85.46,74.62,1,[0.99408678 0.98677893 0.94425234 0.8736286  0.77422629],2686260
1585,19940.svs,2686870,91.33,84.04,1,[0.99917214 0.9936343  0.97271202 0.92265776 0.87017378],2686230
1586,19940.svs,2686870,93.78,88.29,1,[0.99955536 0.99567046 0.97806904 0.90626793 0.71620169],2686209
1587,19940.svs,2686870,92.78,86.53,1,[0.99673936 0.98792962 0.96526918 0.90372708 0.84769905],2686190
1588,19940.svs,2686870,79.3,65.69,1,[0.99964086 0.99352491 0.96834425 0.92355344 0.85190139],2686163
1589,19940.svs,2686870,86.98,76.95,1,[0.99971762 0.99506129 0.9765324  0.93457305 0.82158484],2686142
1590,19940.svs,2686870,80.68,67.62,1,[0.99679414 0.99062168 0.96525928 0.90038294 0.76583149],2686124
1591,19940.svs,2686412,89.32,80.7,1,[0.99829808 0.99014369 0.96275029 0.92420292 0.82569738],2777896
1592,19940.svs,2686412,92.75,86.49,0,[0.99715883 0.97253205 0.94519111 0.86466673 0.74326364],2744893
1593,19940.svs,2686412,84.26,72.8,0,[0.9978821  0.99223153 0.97193723 0.86968362 0.72870851],2744730
1594,19940.svs,2686412,79.5,65.97,0,[0.99683681 0.9736965  0.93509279 0.87739894 0.80178585],2744677
1595,19940.svs,2686412,84.62,73.33,0,[0.99511703 0.98258166 0.95881008 0.84573286 0.70579488],2744648
1596,19940.svs,2686412,74.51,59.38,0,[0.99861421 0.98757881 0.96635896 0.8790576  0.67111695],2713706
1597,19940.svs,2686412,80.49,67.35,0,[0.99816224 0.98809787 0.95580673 0.84412786 0.60662158],2713685
1598,19940.svs,2686412,84.58,73.27,0,[0.99886156 0.98403587 0.952743   0.86858202 0.69424377],2713628
1599,19940.svs,2686412,88.99,80.16,0,[0.99847009 0.98484369 0.9445345  0.89212881 0.80829891],2713607
1600,19940.svs,2686412,82.61,70.37,0,[0.99736904 0.98885054 0.96572145 0.83895142 0.67670297],2713580
1601,19940.svs,2686412,85.88,75.25,0,[0.99975417 0.98950092 0.96791152 0.90561699 0.86128125],2713545
1602,19940.svs,2686412,87.22,77.33,0,[0.99956442 0.9862136  0.92992324 0.88086394 0.78479375],2713522
1603,19940.svs,2686412,90.46,82.58,0,[0.99767946 0.99049971 0.9757493  0.91749038 0.80880839],2713503
1604,19940.svs,2686412,86.69,76.5,0,[0.99558645 0.98573434 0.96031362 0.86125194 0.75375997],2713450
1605,19940.svs,2686412,83.24,71.3,0,[0.99779934 0.98674634 0.96089888 0.85219268 0.61077409],2713433
1606,19940.svs,2686412,89.43,80.88,0,[0.99478236 0.98577828 0.97413221 0.91771331 0.81706609],2713412
1607,19940.svs,2686412,88.68,79.66,0,[0.98642365 0.97045825 0.95887726 0.88578885 0.77898545],2713395
1608,19940.svs,2686412,70.59,54.55,0,[0.99885904 0.98669225 0.96048416 0.89601    0.73700453],2713372
1609,19940.svs,2686412,80.64,67.56,0,[0.99149176 0.98207711 0.96932869 0.90605935 0.79315394],2713335
1610,19940.svs,2686412,89.02,80.21,0,[0.99878827 0.99292719 0.97488433 0.91667569 0.71076477],2713264
1611,19940.svs,2686412,86.24,75.81,0,[0.99812571 0.99165337 0.9733507  0.90647796 0.76729023],2713249
1612,19940.svs,2686412,76.4,61.82,0,[0.99576618 0.98405197 0.95762406 0.86498659 0.74331601],2713232
1613,19940.svs,2686412,82.45,70.14,0,[0.99880016 0.99135438 0.96937976 0.91176617 0.83344366],2713211
1614,19940.svs,2686412,88.02,78.6,0,[0.98645161 0.97783    0.95939579 0.87998864 0.79928985],2713182
1615,19940.svs,2686412,83.3,71.37,0,[0.99473099 0.97624321 0.92945649 0.82502734 0.64971841],2713165
1616,19940.svs,2686412,84.14,72.63,0,[0.99901256 0.99023067 0.96628282 0.90469165 0.73873558],2713150
1617,19940.svs,2686412,84.84,73.67,0,[0.99848823 0.98665944 0.96697557 0.89232664 0.74944476],2713123
1618,19940.svs,2686412,82.48,70.18,0,[0.99794956 0.98790596 0.95491123 0.83574762 0.69929856],2713100
1619,19940.svs,2686412,86.18,75.72,0,[0.99247421 0.98495892 0.9665813  0.92168369 0.87349808],2713069
1620,19940.svs,2686412,85.27,74.33,0,[0.99955046 0.98746877 0.94820769 0.85586215 0.73240982],2713048
1621,19940.svs,2686412,76.18,61.53,0,[0.99301938 0.97166354 0.95493076 0.87197012 0.76378353],2713027
1622,19940.svs,2686412,81.64,68.98,0,[0.99858314 0.9856552  0.9553034  0.87998789 0.80013852],2713006
1623,19940.svs,2686412,77.4,63.14,0,[0.99584217 0.98289046 0.9572604  0.85308292 0.76390879],2712987
1624,19940.svs,2686412,75.71,60.91,0,[0.99772068 0.98337383 0.9568239  0.87669478 0.75230497],2712964
1625,19940.svs,2686412,92.16,85.45,0,[0.99872356 0.97539063 0.94848676 0.8561991  0.75029165],2712937
1626,19940.svs,2686412,76.3,61.68,0,[0.9964611  0.89973008 0.85644396 0.71265014 0.63650585],2712916
1627,19940.svs,2686412,84.54,73.21,0,[0.99890642 0.97767304 0.94445631 0.83334678 0.70973485],2712897
1628,19940.svs,2686412,69.62,53.4,0,[0.99447404 0.9757146  0.95046711 0.85143436 0.75041624],2712860
1629,19940.svs,2686412,76.74,62.26,0,[0.99755479 0.98872967 0.94942235 0.74333884 0.60073477],2712837
1630,19940.svs,2686412,84.6,73.31,0,[0.99587768 0.98329044 0.9438159  0.8049214  0.73155834],2712822
1631,19940.svs,2686412,80.66,67.59,0,[0.99760924 0.98753139 0.95044551 0.79167902 0.67009669],2712803
1632,19940.svs,2686412,87.45,77.7,0,[0.99801608 0.98701997 0.95661595 0.86887314 0.72345505],2712788
1633,19940.svs,2686412,84.61,73.33,1,[0.99840555 0.9912316  0.96294478 0.88340641 0.74678751],2688911
1634,19940.svs,2686412,67.6,51.05,1,[0.99911844 0.98618352 0.9318913  0.89705313 0.79339657],2688890
1635,19940.svs,2686412,86.23,75.8,1,[0.99703405 0.9884874  0.96627938 0.88948456 0.78396516],2688871
1636,19940.svs,2686412,90.57,82.76,1,[0.99598452 0.98914643 0.96779767 0.9196915  0.84273928],2688820
1637,19940.svs,2686412,89.83,81.54,1,[0.99730818 0.99095456 0.96798362 0.90809108 0.79364245],2688793
1638,19940.svs,2686412,88.06,78.67,1,[0.98956267 0.98082432 0.97298767 0.9247002  0.87279906],2688772
1639,19940.svs,2686412,84.41,73.02,1,[0.99884302 0.99313829 0.97555731 0.93206584 0.82366493],2688751
1640,19940.svs,2686412,85.55,74.75,1,[0.99605474 0.99048228 0.97578569 0.91617653 0.80325258],2688730
1641,19940.svs,2686412,82.29,69.91,1,[0.99790903 0.99332447 0.9762266  0.91697461 0.82658783],2688711
1642,19940.svs,2686412,89.99,81.81,1,[0.99364557 0.98248719 0.9624087  0.92130742 0.85048711],2688688
1643,19940.svs,2686412,86.59,76.36,1,[0.99945773 0.9949263  0.97264921 0.91781645 0.84357519],2688665
1644,19940.svs,2686412,85.3,74.37,1,[0.99669257 0.99344618 0.98269874 0.94043326 0.88429304],2688646
1645,19940.svs,2686412,88.97,80.13,1,[0.99770102 0.99327149 0.98106164 0.93675352 0.81875217],2688621
1646,19940.svs,2686412,95.19,90.82,1,[0.99268442 0.98681282 0.97438208 0.9112153  0.81459474],2688598
1647,19940.svs,2686412,87.74,78.15,1,[0.99906559 0.98643078 0.97251778 0.91481884 0.8555458 ],2688579
1648,19940.svs,2686412,84.15,72.63,1,[0.99867346 0.99222449 0.96021458 0.89074088 0.73519997],2688562
1649,19940.svs,2686412,85.02,73.94,1,[0.99910993 0.99510265 0.96937182 0.91405962 0.79838259],2688545
1650,19940.svs,2686412,82.63,70.4,1,[0.99844483 0.98792271 0.94474836 0.88291135 0.8430705 ],2688528
1651,19940.svs,2686412,92.22,85.57,1,[0.99908466 0.98948567 0.93990773 0.84482814 0.77759758],2686870
1652,19940.svs,2686412,90.68,82.95,1,[0.995986   0.98703628 0.96864459 0.89217518 0.77643298],2686851
1653,19940.svs,2686412,90.84,83.22,1,[0.99749437 0.98430714 0.94568381 0.84828183 0.64734786],2686828
1654,19940.svs,2686412,90.68,82.95,1,[0.99660931 0.98482573 0.94737689 0.914417   0.84802286],2686811
1655,19940.svs,2686412,93.8,88.33,1,[0.99470708 0.98933505 0.97323663 0.89462132 0.80663722],2686790
1656,19940.svs,2686412,79.43,65.88,1,[0.99793433 0.98427827 0.95709775 0.87111753 0.6855794 ],2686769
1657,19940.svs,2686412,95.63,91.62,1,[0.9966587  0.99214844 0.97625879 0.91134756 0.81184917],2686748
1658,19940.svs,2686412,84.71,73.47,1,[0.99836746 0.99465853 0.9799627  0.92027104 0.85623716],2686731
1659,19940.svs,2686412,93.75,88.23,1,[0.9977011  0.99050721 0.96279687 0.87481526 0.78680863],2686708
1660,19940.svs,2686412,83.45,71.6,1,[0.99790395 0.98346336 0.92538163 0.80249261 0.72106155],2686685
1661,19940.svs,2686412,95.76,91.87,1,[0.99807089 0.99345704 0.97866225 0.92828247 0.82893265],2686599
1662,19940.svs,2686412,93.27,87.39,1,[0.99913115 0.99475793 0.97970546 0.9304345  0.85487495],2686578
1663,19940.svs,2686412,91.08,83.61,1,[0.99957697 0.99488837 0.97388138 0.9237432  0.85167016],2686549
1664,19940.svs,2686412,90.89,83.31,1,[0.99761596 0.99040032 0.97180358 0.91216298 0.80169177],2686504
1665,19940.svs,2686412,90.62,82.85,1,[0.9975982  0.97535863 0.93999409 0.88121221 0.80792434],2686483
1666,19940.svs,2686412,70.72,54.71,1,[0.99864208 0.98585063 0.95860692 0.88444071 0.77389998],2686460
1667,19940.svs,2686412,92.97,86.86,1,[0.99813039 0.99153913 0.96797434 0.8765436  0.7335827 ],2686431
1668,19940.svs,2686412,91.26,83.93,1,[0.99997462 0.99738582 0.99013766 0.97414054 0.91909841],2686412
1669,19940.svs,2686412,92.31,85.72,1,[0.99897367 0.99137876 0.97893391 0.93142598 0.8687658 ],2686391
1670,19940.svs,2686412,89.83,81.54,1,[0.99701543 0.98999684 0.96520683 0.91022971 0.81018581],2686370
1671,19940.svs,2686412,93.32,87.47,1,[0.99722956 0.98994572 0.9705911  0.90124976 0.84083903],2686353
1672,19940.svs,2686412,89.64,81.22,1,[0.99794795 0.98992363 0.97226459 0.87488067 0.72644619],2686334
1673,19940.svs,2686412,87.11,77.17,1,[0.99613153 0.98586307 0.94867636 0.88835045 0.76099562],2686317
1674,19940.svs,2686412,81.62,68.95,1,[0.99796448 0.98630329 0.93035922 0.85355037 0.71388277],2686298
1675,19940.svs,2686412,86.56,76.31,1,[0.9900989  0.98080834 0.94607505 0.88799691 0.81935482],2686260
1676,19940.svs,2686412,93.26,87.37,1,[0.99714974 0.99028607 0.97311349 0.91108661 0.86733366],2686230
1677,19940.svs,2686412,94.11,88.87,1,[0.9979657  0.99341261 0.98062991 0.91484103 0.81113828],2686209
1678,19940.svs,2686412,92.88,86.71,1,[0.99381176 0.98392067 0.96953841 0.9191285  0.87511207],2686190
1679,19940.svs,2686412,79.32,65.72,1,[0.99830997 0.99150791 0.97058455 0.93084941 0.85005021],2686163
1680,19940.svs,2686412,86.58,76.33,1,[0.99827408 0.99244389 0.97518461 0.93211009 0.81652241],2686142
1681,19940.svs,2686412,80.81,67.8,1,[0.99441329 0.9858078  0.96040429 0.91255685 0.81459589],2686124
1682,19940.svs,2688545,92.81,86.58,1,[0.99933359 0.99136989 0.96162281 0.92284456 0.83699115],2777896
1683,19940.svs,2688545,92.14,85.42,0,[0.99497131 0.96424962 0.93483059 0.8336507  0.64687731],2744893
1684,19940.svs,2688545,84.74,73.52,0,[0.9976993  0.99296874 0.97510256 0.90478554 0.84032494],2744730
1685,19940.svs,2688545,79.07,65.39,0,[0.99587081 0.97365797 0.93145948 0.85869272 0.78065173],2744677
1686,19940.svs,2688545,84.49,73.15,0,[0.99432009 0.98111168 0.9648682  0.88999918 0.81555551],2744648
1687,19940.svs,2688545,75.42,60.53,0,[0.9981737  0.99057576 0.97689457 0.91644448 0.83038543],2713706
1688,19940.svs,2688545,80.5,67.37,0,[0.9979876  0.99079977 0.96532325 0.88841631 0.80093825],2713685
1689,19940.svs,2688545,85.11,74.07,0,[0.99872606 0.98670675 0.95894321 0.89491898 0.84190868],2713628
1690,19940.svs,2688545,88.58,79.49,0,[0.99811923 0.98646157 0.94833086 0.91073713 0.83985892],2713607
1691,19940.svs,2688545,82.52,70.24,0,[0.99652493 0.99057386 0.97429699 0.89638862 0.80966137],2713580
1692,19940.svs,2688545,85.59,74.81,0,[0.99924107 0.98824474 0.9675054  0.9130819  0.84511167],2713545
1693,19940.svs,2688545,87.07,77.1,0,[0.99949715 0.98651273 0.9256068  0.87245558 0.77302843],2713522
1694,19940.svs,2688545,89.99,81.8,0,[0.99593788 0.98702499 0.97029981 0.8979468  0.78864783],2713503
1695,19940.svs,2688545,85.82,75.17,0,[0.99481999 0.98766042 0.96980635 0.893643   0.86978788],2713450
1696,19940.svs,2688545,83.09,71.07,0,[0.99783983 0.98970967 0.96683918 0.86766486 0.79485667],2713433
1697,19940.svs,2688545,89.21,80.52,0,[0.99424434 0.98790963 0.98115102 0.92718066 0.8650102 ],2713412
1698,19940.svs,2688545,88.58,79.5,0,[0.98341603 0.96453555 0.95422081 0.86907927 0.81675491],2713395
1699,19940.svs,2688545,76.61,62.08,0,[0.9992591  0.99041557 0.97195902 0.91254916 0.82531738],2713372
1700,19940.svs,2688545,79.85,66.46,0,[0.98886259 0.97745754 0.9684463  0.91045984 0.80686304],2713335
1701,19940.svs,2688545,89.27,80.62,0,[0.99919036 0.99569552 0.97942982 0.92812765 0.84905317],2713264
1702,19940.svs,2688545,86.09,75.58,0,[0.99813004 0.99411025 0.98133744 0.9312697  0.89499952],2713249
1703,19940.svs,2688545,79.86,66.47,0,[0.99614809 0.98712175 0.9665414  0.89080658 0.8213732 ],2713232
1704,19940.svs,2688545,83.21,71.25,0,[0.99830374 0.99210664 0.97094182 0.91636054 0.91255097],2713211
1705,19940.svs,2688545,88.08,78.7,0,[0.98503598 0.97742076 0.96652276 0.92746147 0.86866256],2713182
1706,19940.svs,2688545,82.7,70.5,0,[0.99467733 0.9799733  0.93828322 0.84940009 0.74225924],2713165
1707,19940.svs,2688545,84.68,73.44,0,[0.99915021 0.9916926  0.97257548 0.93075272 0.85288098],2713150
1708,19940.svs,2688545,85.42,74.55,0,[0.9984531  0.99028187 0.97127327 0.90467113 0.82488886],2713123
1709,19940.svs,2688545,81.73,69.1,0,[0.99822758 0.98956936 0.96148501 0.88422447 0.78572064],2713100
1710,19940.svs,2688545,87.11,77.16,0,[0.99130568 0.98554805 0.97079101 0.91567563 0.82051931],2713069
1711,19940.svs,2688545,85.07,74.01,0,[0.99929856 0.98817707 0.95030122 0.89855572 0.79119455],2713048
1712,19940.svs,2688545,75.91,61.18,0,[0.99090104 0.96729224 0.94518397 0.82456967 0.70759786],2713027
1713,19940.svs,2688545,80.71,67.66,0,[0.99776694 0.98426162 0.94934799 0.8341724  0.74579844],2713006
1714,19940.svs,2688545,76.79,62.32,0,[0.99537579 0.98533353 0.96147208 0.82272998 0.75350928],2712987
1715,19940.svs,2688545,75.89,61.15,0,[0.9970941  0.98336598 0.95450092 0.83257355 0.78382234],2712964
1716,19940.svs,2688545,92.21,85.55,0,[0.99840229 0.97249718 0.94547243 0.87343666 0.84322272],2712937
1717,19940.svs,2688545,76.49,61.93,0,[0.9962483  0.8894848  0.84341707 0.69807818 0.58372628],2712916
1718,19940.svs,2688545,84.81,73.62,0,[0.99879066 0.97531168 0.94278399 0.85082141 0.81979739],2712897
1719,19940.svs,2688545,69.88,53.7,0,[0.9935809  0.97366714 0.9526535  0.88862632 0.86444527],2712860
1720,19940.svs,2688545,77.54,63.32,0,[0.99687733 0.98916309 0.95920073 0.8210667  0.76325103],2712837
1721,19940.svs,2688545,84.2,72.71,0,[0.99521269 0.98313176 0.95062694 0.86531012 0.82171145],2712822
1722,19940.svs,2688545,81.58,68.89,0,[0.99687275 0.98665719 0.95986122 0.87246251 0.82045556],2712803
1723,19940.svs,2688545,87.15,77.23,0,[0.99766645 0.98544246 0.96224508 0.92017314 0.83305578],2712788
1724,19940.svs,2688545,88.18,78.86,1,[0.9995559  0.99233049 0.95703985 0.92161765 0.84757209],2688911
1725,19940.svs,2688545,68.71,52.34,1,[0.99918201 0.98594999 0.92860867 0.89199276 0.76338297],2688890
1726,19940.svs,2688545,86.14,75.66,1,[0.99644057 0.9878419  0.96724012 0.89833806 0.77584988],2688871
1727,19940.svs,2688545,90.77,83.09,1,[0.99529325 0.98934819 0.96696315 0.91870064 0.76835364],2688820
1728,19940.svs,2688545,89.62,81.19,1,[0.99725514 0.99172151 0.96668658 0.90233585 0.75807742],2688793
1729,19940.svs,2688545,88.52,79.41,1,[0.98758988 0.97734741 0.97048281 0.91862136 0.80291476],2688772
1730,19940.svs,2688545,88.03,78.62,1,[0.99958877 0.99539438 0.97917676 0.91812929 0.8154327 ],2688751
1731,19940.svs,2688545,85.63,74.88,1,[0.9955521  0.99110016 0.9785665  0.93515408 0.88031898],2688730
1732,19940.svs,2688545,82.31,69.93,1,[0.99748973 0.99310636 0.97773786 0.89972399 0.79183344],2688711
1733,19940.svs,2688545,89.96,81.75,1,[0.99332149 0.9845752  0.96484267 0.92022788 0.81312101],2688688
1734,19940.svs,2688545,87.7,78.09,1,[0.99962556 0.99471252 0.97191663 0.89245374 0.77717575],2688665
1735,19940.svs,2688545,85.12,74.1,1,[0.99577999 0.99214622 0.98106953 0.91158254 0.83148415],2688646
1736,19940.svs,2688545,95.57,91.52,1,[0.99960711 0.99479277 0.98115856 0.93653398 0.81915853],2688621
1737,19940.svs,2688545,95.3,91.02,1,[0.99238063 0.98748141 0.97821903 0.90550354 0.78763043],2688598
1738,19940.svs,2688545,89.89,81.64,1,[0.99817874 0.98294316 0.96861414 0.90763605 0.82169171],2688579
1739,19940.svs,2688545,93.19,87.25,1,[0.99979934 0.99616858 0.97638697 0.93724939 0.83775327],2688562
1740,19940.svs,2688545,91.63,84.56,1,[0.99994083 0.99785529 0.98432746 0.97628885 0.94345749],2688545
1741,19940.svs,2688545,82.62,70.39,1,[0.99826379 0.98887435 0.94569255 0.87085028 0.80855384],2688528
1742,19940.svs,2688545,92.89,86.73,1,[0.99936108 0.98975442 0.94762622 0.88399197 0.82146643],2686870
1743,19940.svs,2688545,90.68,82.94,1,[0.99514097 0.9859342  0.97312877 0.90765591 0.84350254],2686851
1744,19940.svs,2688545,93.74,88.22,1,[0.99861021 0.98616137 0.93804973 0.82898423 0.61521804],2686828
1745,19940.svs,2688545,86.36,76.0,1,[0.99757977 0.98731186 0.94420582 0.90736756 0.81819698],2686811
1746,19940.svs,2688545,94.06,88.79,1,[0.99379682 0.98894471 0.97383702 0.87566052 0.80240153],2686790
1747,19940.svs,2688545,89.27,80.62,1,[0.999464   0.98704368 0.96072589 0.91693754 0.77968377],2686769
1748,19940.svs,2688545,96.65,93.51,1,[0.99703442 0.99403873 0.98201281 0.92936604 0.85227517],2686748
1749,19940.svs,2688545,87.59,77.92,1,[0.99885168 0.99543854 0.98185223 0.93912881 0.90321576],2686731
1750,19940.svs,2688545,91.22,83.85,1,[0.99805784 0.99048067 0.96481251 0.8905472  0.70571887],2686708
1751,19940.svs,2688545,88.74,79.76,1,[0.99944613 0.98624008 0.9287477  0.84106111 0.66074808],2686685
1752,19940.svs,2688545,95.35,91.12,1,[0.99799447 0.99460625 0.98282651 0.95369008 0.91613021],2686599
1753,19940.svs,2688545,92.83,86.62,1,[0.99866276 0.99542865 0.98618941 0.96318273 0.92775737],2686578
1754,19940.svs,2688545,89.52,81.02,1,[0.99925387 0.9942663  0.97459228 0.90111787 0.85286838],2686549
1755,19940.svs,2688545,90.72,83.01,1,[0.99732189 0.99235418 0.97937081 0.92257533 0.8170557 ],2686504
1756,19940.svs,2688545,91.28,83.96,1,[0.99593937 0.96720671 0.93111377 0.85036942 0.71429359],2686483
1757,19940.svs,2688545,79.58,66.08,1,[0.99918563 0.98910643 0.96150286 0.88810703 0.86631155],2686460
1758,19940.svs,2688545,91.9,85.01,1,[0.99885274 0.99319475 0.97073319 0.89870682 0.75314649],2686431
1759,19940.svs,2688545,93.3,87.44,1,[0.9996778  0.99572672 0.98231436 0.91128008 0.75892115],2686412
1760,19940.svs,2688545,93.6,87.97,1,[0.99787204 0.98797871 0.97299255 0.90021281 0.78791773],2686391
1761,19940.svs,2688545,90.56,82.74,1,[0.9964252  0.98854641 0.96428857 0.91635297 0.73403015],2686370
1762,19940.svs,2688545,92.99,86.9,1,[0.99685875 0.98963377 0.97234835 0.9122647  0.79509392],2686353
1763,19940.svs,2688545,87.86,78.35,1,[0.99832565 0.99232151 0.97224514 0.88429909 0.7167651 ],2686334
1764,19940.svs,2688545,87.53,77.83,1,[0.99541469 0.98495662 0.95086525 0.90262025 0.72045187],2686317
1765,19940.svs,2688545,81.08,68.19,1,[0.99796092 0.98625572 0.92834926 0.84591724 0.62316474],2686298
1766,19940.svs,2688545,86.96,76.93,1,[0.98878305 0.9796067  0.94220108 0.8632408  0.72363087],2686260
1767,19940.svs,2688545,92.53,86.1,1,[0.9972778  0.99205089 0.97270568 0.89721304 0.8505322 ],2686230
1768,19940.svs,2688545,94.08,88.82,1,[0.99822327 0.9945845  0.98080397 0.8944443  0.73066859],2686209
1769,19940.svs,2688545,92.74,86.47,1,[0.99334153 0.98630117 0.97232559 0.89747375 0.82304742],2686190
1770,19940.svs,2688545,79.1,65.42,1,[0.99852293 0.9929274  0.97339552 0.93179002 0.84999105],2686163
1771,19940.svs,2688545,93.63,88.02,1,[0.99968425 0.99550623 0.98002295 0.94187283 0.84839241],2686142
1772,19940.svs,2688545,82.29,69.9,1,[0.99279956 0.98286852 0.95752283 0.88486544 0.72599039],2686124
1773,19940.svs,2686370,79.81,66.4,1,[0.99950286 0.99098972 0.97231361 0.93303214 0.82496943],2777896
1774,19940.svs,2686370,90.72,83.02,0,[0.99831761 0.97845697 0.94421029 0.82136664 0.69555997],2744893
1775,19940.svs,2686370,83.83,72.16,0,[0.99760261 0.98859506 0.97128122 0.87644142 0.69961713],2744730
1776,19940.svs,2686370,77.24,62.92,0,[0.99401762 0.96656479 0.91783888 0.78929005 0.62396114],2744677
1777,19940.svs,2686370,84.05,72.48,0,[0.9988253  0.9918302  0.95731584 0.84114083 0.67906596],2744648
1778,19940.svs,2686370,66.05,49.31,0,[0.99582698 0.97889113 0.95891002 0.87439138 0.62867365],2713706
1779,19940.svs,2686370,77.2,62.87,0,[0.99498512 0.97565673 0.94042771 0.81844454 0.5259286 ],2713685
1780,19940.svs,2686370,84.81,73.63,0,[0.99440633 0.97118461 0.93679842 0.82604244 0.58731555],2713628
1781,19940.svs,2686370,83.46,71.61,0,[0.99777979 0.98001996 0.93099881 0.84195051 0.74165528],2713607
1782,19940.svs,2686370,82.41,70.08,0,[0.99597498 0.98092517 0.95593627 0.81583084 0.6464946 ],2713580
1783,19940.svs,2686370,81.75,69.13,0,[0.99737826 0.98449526 0.96424583 0.86946685 0.78042183],2713545
1784,19940.svs,2686370,75.04,60.06,0,[0.99549895 0.97189975 0.90074207 0.84258732 0.74045139],2713522
